,Date,Value
0,1618060888.218353,33.94173049926758
0,1618060898.283874,33.09960556030273
0,1618060908.3565311,33.838546752929695
0,1618060918.425331,32.87659072875977
0,1618061052.1746929,32.560379028320305
0,1618061062.241875,32.849964141845696
0,1618061220.617076,33.006404876708984
0,1618061230.679609,32.843307495117195
0,1618061240.750651,32.7767333984375
0,1618061250.812515,32.866607666015625
0,1618061260.856692,32.726806640625
0,1618061270.922631,32.72347640991211
0,1618061280.985118,33.023048400878906
0,1618061291.029815,32.577022552490234
0,1618061301.094194,32.88324737548828
0,1618061311.156301,32.760093688964844
